Benchmark,Device,Device Name,Key,Hash,Word,WordsPerBlock,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec),Pattern Bits,AddHorizontalLayout,AddVerticalLayout,ContainsHorizontalLayout,ContainsVerticalLayout
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,512,Yes,,,,,,,,,,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1024,Yes,,,,,,,,,,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2048,Yes,,,,,,,,,,,,,,
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,1,No,1,12,0.04452904416666667,7.979434374379591e-05,0.04451046498616537,6.875351105945021e-05,22466626675.565342,13,0.044526355449969954,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,2,No,1,12,0.04454822650000001,0.0015423260925524571,0.04452898248036704,0.0015473992614129725,22457283869.91333,13,0.04450816081120417,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,4,No,1,12,0.0447103535,0.005062486282009916,0.04469102986653647,0.005063450316014357,22375854908.386776,13,0.04450863354022686,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,8,No,1,12,0.04496556116666667,0.0035580585249287795,0.04494694423675538,0.00354721097885387,22248453526.285545,13,0.0445040644132174,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,16,No,1,12,0.04495611491666667,0.0033140888518990693,0.04493713092803955,0.003305581643827269,22253312112.90188,13,0.04472910866370568,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,32,No,1,11,0.04606451654545454,0.0009653460390546802,0.04604481194236061,0.0009726161539517509,21717973378.886,12,0.04598587703704834,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,64,No,0.9999972581863403,11,0.12624947818181817,0.014661322851408773,0.12623136555064807,0.014655145689815068,7921961357.5262165,12,0.1252484264373779,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,128,No,0.9953603744506836,11,0.16126730327272729,0.0100507878472163,0.16124844360351565,0.01004908718076441,6201610245.980677,12,0.16050927098592122,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,256,No,0.8243447542190552,11,0.17807205581818183,0.008544661472755054,0.17805619257146665,0.00854218909482613,5616204556.315157,12,0.17742924880981448,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,512,No,0.2734166383743286,11,0.186402162,0.008070797960185052,0.1863862457275391,0.008069149048354318,5365202759.981592,12,0.18578653971354164,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,1024,No,0.02465631440281868,11,0.190539684,0.007769204652028938,0.1905239493630149,0.007767365309821301,5248683975.654156,12,0.1899350191752116,8,8,1,1,8
pfp_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,2048,No,0.0009168590186163783,11,0.19259864163636362,0.007707339070297658,0.19258246820623226,0.007706827518966474,5192580660.7127,12,0.19199180857340495,8,8,1,1,8
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,1,No,1,16,0.031511539500000005,0.00023611081788835425,0.03149497592449188,0.0002439584401560191,31751095869.940193,17,0.03148161562751321,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2,No,1,16,0.03176990275,0.0037780076088343006,0.03175270414352417,0.003769019555358524,31493380704.83505,17,0.0315104076161104,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,4,No,1,16,0.031757694625000006,0.003663687427614313,0.031740095734596255,0.0036745282983218996,31505891108.892094,17,0.03164527511596679,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,8,No,1,16,0.0317393849375,0.0034520470991708523,0.03172249603271485,0.0034542820052291317,31523370637.944687,17,0.03172002657722024,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,16,No,1,16,0.031808578750000004,0.0025473563511518643,0.03179078459739684,0.002546949312813867,31455656494.929165,17,0.03171243589064654,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,32,No,1,15,0.03497388073333334,0.0075661672534161105,0.03495512771606445,0.007569500158524323,28608106030.189854,16,0.03486880016326904,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,64,No,0.999998927116394,11,0.05417629000000001,0.03845381447706778,0.05415880133888939,0.03845934323231558,18464219577.95321,12,0.051273811976114914,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,128,No,0.9982485175132751,11,0.06707442872727273,0.044372334137596676,0.06705822199041193,0.04437204987481118,14912414470.860579,12,0.06428364817301431,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,256,No,0.9296044111251831,11,0.07325926036363638,0.04368742954805774,0.07324234494295988,0.043691997893783245,13653303983.901472,12,0.07060514132181803,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,512,No,0.6064155101776123,11,0.07613993827272726,0.04393000677824986,0.07612341586026278,0.043934184027138695,13136562366.508444,12,0.07371067810058593,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,1024,No,0.23074789345264435,11,0.07726581036363638,0.04233251811829554,0.07724972187389029,0.04233391250539059,12945030425.255045,12,0.07525606409708659,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2048,No,0.09280787408351898,11,0.07603536072727274,9.463026097597548e-05,0.07601896667480468,9.295751856077433e-05,13154611852.037113,12,0.07600384012858073,,,,,
bloom_filter_contains_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,identity_hash,U32,8,UNIQUE,1000000000,2000,No,0,18,0.029007260999999993,0.0033508080747592676,0.028992056634691028,0.003350406370440804,34492206351.56424,19,0.02900889607479698,,,,,
bloom_filter_contains_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,xxhash_32,U32,8,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_contains_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2000,No,0.02570018358528614,11,0.07602154636363638,8.511628034092845e-05,0.0760057477084073,8.652926567704502e-05,13156899710.22265,12,0.07598822339375814,,,,,
bloom_filter_contains_unique_hash,0,NVIDIA A100-SXM4-40GB,I64,murmurhash3_32,U32,8,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,1,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,2,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,4,UNIQUE,1000000000,2000,No,0.9995129108428955,11,0.0759071700909091,6.523373448336951e-05,0.07588882515647194,6.66018924698576e-05,13177170656.392988,12,0.0758729394276937,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2000,No,0.02570018358528614,11,0.07601178600000001,3.315022136609418e-05,0.07599615894664417,3.014358905734206e-05,13158559772.765434,12,0.07598250579833984,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,1,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,2,UNIQUE,1000000000,2000,Yes,,,,,,,,,,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,4,UNIQUE,1000000000,2000,No,0.3792368769645691,11,0.07601884981818181,6.548326266833907e-05,0.07600072201815518,6.879322553654794e-05,13157769734.886444,12,0.07598762639363606,,,,,
bloom_filter_contains_unique_block_dim,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U64,8,UNIQUE,1000000000,2000,No,0.009448027238249779,11,0.09086339945454545,2.5047646812697026e-05,0.09084490481289952,2.1444741028253367e-05,11007772005.040453,12,0.09083332379659016,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1,No,1,18,0.029236700277777774,0.003847770509015059,0.029217280281914598,0.0038492434087960617,34226320531.928387,19,0.029236062702379727,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2,No,1,18,0.02919948605555555,0.00010712943560354656,0.029180530230204258,9.861209231423274e-05,34269425267.842373,19,0.02917893469961066,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,4,No,1,18,0.029162861777777778,0.00013265472806044484,0.0291440642674764,0.00012111484197738195,34312304242.20412,19,0.02912040278786107,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,8,No,1,18,0.029139009388888883,0.00019167323037138314,0.029118976381089942,0.00010180704817317653,34341866517.306793,19,0.029108817552265364,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,16,No,1,18,0.029129047888888888,0.0001176323296613925,0.029111637433369957,0.00011635322765634064,34350523988.517544,19,0.029097874791998612,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,32,No,1,15,0.03336818926666667,0.008050363089617828,0.033349700164794924,0.008048025364156582,29985277080.710728,16,0.032866817474365234,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,64,No,0.9999973773956299,11,0.05401269836363636,0.038810202431506007,0.05399552015824751,0.03880982894532693,18520054942.87762,12,0.05112976996103922,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,128,No,0.9953687191009521,11,0.06703319654545456,0.044046048319419905,0.06701651763916015,0.04404517809951933,14921694460.227581,12,0.06426026535034181,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,256,Yes,,,,,,,,,,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,512,Yes,,,,,,,,,,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1024,Yes,,,,,,,,,,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2048,Yes,,,,,,,,,,,,,,
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,1,No,1,39,0.012983365384615383,0.00968940130112444,0.01296352491623316,0.009704331097586043,77139513092.44463,40,0.013001753234863281,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,2,No,1,39,0.013100032384615386,0.01429081226550152,0.013081022311479616,0.014308836628548432,76446624444.8205,40,0.013065574645996095,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,4,No,1,39,0.013111074692307696,0.01764567890342261,0.013091314853766023,0.01766065227814643,76386521229.55598,40,0.013080473327636719,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,8,No,1,39,0.013032328897435897,0.014581704094689686,0.013012755711873368,0.01458608478185715,76847673324.68704,40,0.013003929138183592,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,16,No,1,39,0.013079161051282057,0.015018977023682678,0.013059912168062654,0.015023648490168634,76570193362.05405,40,0.012977407836914062,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,32,No,1,18,0.028448298333333337,0.01676910562989007,0.028427832709418406,0.016765480624409208,35176793469.33439,19,0.02682281815378289,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,64,No,0.9999971389770508,11,0.054222840545454544,0.04135074847953393,0.05420544017444957,0.041358222703593475,18448332801.683674,12,0.05138432025909425,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,128,No,0.9953668713569641,11,0.06706061190909092,0.044773200824825374,0.06704314075816763,0.044784404455255514,14915768991.299435,12,0.06430532201131185,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,256,No,0.8243630528450012,11,0.07324841790909092,0.043854940649170164,0.07323145363547584,0.043856573845323904,13655334563.99349,12,0.07063151041666667,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,512,No,0.27341219782829285,11,0.07615415281818182,0.043937428859047355,0.07613672776655717,0.04394157618182968,13134265542.19798,12,0.07499494361877442,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,1024,No,0.024653548374772072,11,0.07728604163636364,0.0420995365448244,0.07726927115700462,0.042102716407983465,12941755306.169313,12,0.07939712015787762,8,8,1,1,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,8,UNIQUE,1000000000,2048,No,0.000918109028134495,11,0.07603586145454545,9.336890585524195e-05,0.07601896806196734,9.295090496260492e-05,13154611611.997202,12,0.07599735450744628,8,8,1,1,8
