Benchmark,Device,Device Name,Key,Hash,Word,WordsPerBlock,Distribution,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec),Pattern Bits
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,128,No,0.9953687191009521,11,0.16177962590909095,0.010088833369221308,0.16176472473144532,0.010086431746262258,6181817461.502537,12,0.1610639355977376,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,256,Yes,,,,,,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,512,Yes,,,,,,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1024,Yes,,,,,,,,,,
arrow_bloom_filter_add_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2048,Yes,,,,,,,,,,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,1,No,1,17,0.03063262558823529,0.005368798264897563,0.03061573264178108,0.005392546544924938,32662945280.470177,18,0.030660720825195314,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2,No,1,17,0.030780048529411772,0.0016320575760137247,0.03076361083984375,0.0016281803351667497,32505937134.819088,18,0.030610717667473683,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,4,No,1,17,0.03076729429411765,0.00018583521531685712,0.030750901053933535,0.00017669152378179572,32519372302.168163,18,0.03071539200676812,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,8,No,1,17,0.030750531411764707,3.823772103249707e-05,0.030734035267549403,3.0628955616969005e-05,32537217820.396404,18,0.03070111242930094,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,16,No,1,17,0.030789852705882356,0.000754483832086172,0.030773488886216102,0.0007495773305816382,32495502986.270584,18,0.030711581124199763,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,32,No,1,15,0.033728039,0.00650880219928762,0.033710080464680985,0.006504995196690404,29664717088.04518,16,0.03355078315734863,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,64,No,0.999998927116394,11,0.054132072,0.04168689343842999,0.05411635138771751,0.041688661081342594,18478703282.035465,12,0.05126306088765462,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,128,No,0.9982485175132751,11,0.06698907590909092,0.046135962907708994,0.06697323053533381,0.046143285578496326,14931338864.897951,12,0.06424132219950358,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,256,No,0.9296044111251831,11,0.07321760527272728,0.044308529514360796,0.07320194383101032,0.04431080413515836,13660839421.266474,12,0.07059763209025065,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,512,No,0.6064155101776123,11,0.0761085530909091,0.04373806280326625,0.07609241693670099,0.04374026220882275,13141914007.434803,12,0.07370061047871908,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,1024,No,0.23074789345264435,11,0.07723625363636363,0.04294081971387219,0.07722086264870384,0.04294169192507454,12949868282.995478,12,0.0752385711669922,
bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,xxhash_64,U32,8,UNIQUE,1000000000,2048,No,0.09280787408351898,11,0.0760342329090909,8.939854025234225e-05,0.0760187828757546,8.76046198830465e-05,13154643657.40246,12,0.07600554847717284,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1,No,1,18,0.028641873666666665,0.0010920121335748604,0.0286255218717787,0.0010886420989273957,34933860925.8991,19,0.028610127298455492,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2,No,1,18,0.02858429677777778,0.001402187150439219,0.028568234867519804,0.0014006889562424314,35003912724.651184,19,0.0285554256439209,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,4,No,1,18,0.02855737722222222,0.00255473563977763,0.028540586789449058,0.0025549476902407063,35037822010.361824,19,0.028514089885510897,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,8,No,1,18,0.028524389277777777,0.0009572402371883048,0.02850855848524306,0.0009459378475475681,35077185699.08163,19,0.028489081934878698,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,16,No,1,18,0.028507178777777784,0.00036681139045952987,0.028490524927775058,0.00036519140339506833,35099388394.38906,19,0.02847593086644223,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,32,No,1,16,0.0321480971875,0.0064381205822075,0.032130880117416376,0.006432526008603359,31122708010.04157,17,0.03156853473887724,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,64,No,0.9999973773956299,11,0.05411420954545454,0.04170045430824593,0.05409754805131392,0.04170218442330193,18485126147.518845,12,0.05126758257548014,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,128,No,0.9953687191009521,11,0.06701368554545455,0.046307620182426484,0.06699780758944425,0.046310734334356896,14925861546.513556,12,0.06427178446451823,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,256,Yes,,,,,,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,512,Yes,,,,,,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,1024,Yes,,,,,,,,,,
arrow_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,,,UNIQUE,1000000000,2048,Yes,,,,,,,,,,
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,1,No,1,41,0.012369771512195123,0.01025634664998027,0.012349989542147012,0.010274076212790214,80971728485.05528,42,0.012402321951729911,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,2,No,1,41,0.01246183890243903,0.012852022501735264,0.012441325210943457,0.01284788907954723,80377289641.1706,43,0.012408474234647528,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,4,No,1,41,0.01245849256097561,0.013054160856146874,0.012438553065788458,0.013051279163057268,80395203100.46704,43,0.01242912115052689,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,8,No,1,41,0.012405361414634148,0.0108835497195721,0.012384855363427136,0.010879637642876572,80743777028.92123,43,0.012368943325308865,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,16,No,1,41,0.012392333243902437,0.011180023376574482,0.012372692294237094,0.01119566780808343,80823152812.56741,42,0.012340906052362351,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,32,No,1,18,0.028394027055555555,0.025319955016588527,0.028374698850843642,0.025328191963472718,35242664785.859665,19,0.02676585147255346,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,64,No,0.9999971389770508,11,0.05406327963636364,0.041796701093491956,0.054044299385764376,0.04179624723887177,18503339137.807503,12,0.05125418535868326,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,128,No,0.9953668713569641,11,0.06699069636363636,0.04610380460963027,0.0669727651422674,0.0461142401587156,14931442622.620441,12,0.06426982307434083,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,256,No,0.8243630528450012,11,0.07317947827272728,0.044427960740609236,0.07316237917813387,0.04441764703416173,13668226911.610212,12,0.070581418355306,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,512,No,0.27341219782829285,11,0.07606836236363636,0.04332128730321247,0.07605229464444246,0.04332034355264602,13148847180.419365,12,0.07369907379150391,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,1024,No,0.024653548374772072,11,0.07718753636363639,0.042576160005301004,0.07717087416215375,0.04258583622411985,12958256736.845692,12,0.07523430315653483,8
pfp_bloom_filter_contains_unique_size,0,NVIDIA A100-SXM4-40GB,I64,,U32,,UNIQUE,1000000000,2048,No,0.000918109028134495,11,0.0760282510909091,9.37999026804498e-05,0.0760128243186257,9.335377080660623e-05,13155674834.660318,12,0.07599283281962076,8
