Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,NumInputs,FilterSizeMB,Skipped,FalsePositiveRate,PatternBits,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,128,No,0.028709602,4,11,0.11300132190909093,0.008506155749865175,0.112984995061701,0.008503140627294075,8850732784.949903,12,0.11254818089803059
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,256,No,0.024257843,4,11,0.11350702690909094,0.006440980195023155,0.11348954772949217,0.006438130672689467,8811384131.898634,12,0.11325798352559407
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,512,No,0.015346345,4,11,0.11497356754545457,0.006574335244311143,0.11495535833185368,0.006572627611004432,8699029036.238531,12,0.11472827720642088
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,1024,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,2048,Yes,,,,,,,,,,
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,1,No,7.91e-07,64,11,0.6194197653636363,1.6986914318463387e-06,0.6194018721147018,2.1153018541405508e-06,1614460732.2317207,12,0.6213563791910808
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,2,No,4.49e-07,64,11,0.6224449452727273,0.0022865700910910643,0.6224286277077414,0.002287433135378496,1606609907.5210683,12,0.6195531158447265
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,4,No,1.656e-06,64,11,0.6194303736363636,6.6915440441271535e-06,0.6194145285866478,6.888321032820971e-06,1614427744.0210435,12,0.6194122212727865
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,8,No,7.23e-07,64,11,0.6194224121818181,9.730588289591393e-06,0.6194066217595879,9.625761443064463e-06,1614448352.455833,12,0.6194034322102866
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,16,No,7.1e-07,64,11,0.6194546773636364,6.220182773715715e-06,0.6194387373490767,5.790201921758003e-06,1614364649.3268354,12,0.6194373118082682
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,32,No,1.156e-06,64,11,0.6267477814545455,1.0514897963668164e-05,0.6267310125177556,1.0972696371642416e-05,1595580847.3282938,12,0.6267208506266276
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,64,No,6.84e-07,64,11,0.6335212966363636,0.0009719355962151011,0.6335057927911931,0.0009719668219652239,1578517531.1405642,12,0.6338775075276692
wc_bloom_filter_contains_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,128,No,8.91e-07,64,11,0.6339454482727274,3.168896431483356e-06,0.6339294433593751,2.8043968280538392e-06,1577462619.0269873,12,0.6339093373616537
