Benchmark,Device,Device Name,Key,Word,BlockBits,PatternBitsPerWord,NumInputs,FilterSizeMB,Skipped,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec),Samples,Batch GPU (sec)
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,32,No,11,0.17150121972727275,0.00015507354278931616,0.17148462607643822,0.0001544224925837725,5831426541.725415,12,0.17147622426350914
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,64,No,11,0.17353786845454547,0.004586156278368313,0.1735216425115412,0.0045858447599246305,5762969883.906489,12,0.17404219690958658
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,128,No,11,0.17439407772727275,0.0002913385792371895,0.17437789084694602,0.0002917293636720089,5734671953.784063,12,0.17435818990071614
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,256,No,11,0.17455909672727274,0.00033576829328164866,0.17454266079989347,0.0003344378102169255,5729258368.224729,12,0.17454540761311851
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,512,No,11,0.17654216418181817,0.0005521863776073562,0.1765250313498757,0.0005507551384733862,5664918976.946575,12,0.17648981730143223
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,1024,No,11,0.17668111718181817,0.002498709326339119,0.17666513338955966,0.0024945815786157582,5660426484.918935,12,0.17653136825561525
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,128,16,1000000000,2048,No,11,0.17861153336363636,0.0017402409979989854,0.17859490966796876,0.0017389755542497438,5599263729.62774,12,0.1784762903849284
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,1,No,11,0.09421072963636364,0.0020839318026830314,0.09419506003639916,0.0020805244282339833,10616267982.77507,12,0.09410491498311359
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,2,No,11,0.0941821362727273,0.0018806354520748282,0.09416638877175072,0.0018755488738530972,10619500365.718529,12,0.09410730806986489
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,4,No,11,0.09490848127272727,0.0053663263592185735,0.09489212452281605,0.005361494843680469,10538282339.326885,12,0.09504563268025716
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,8,No,11,0.09514042327272727,0.0021698223355285985,0.09512382715398617,0.0021671554737517484,10512613189.765831,12,0.094977024714152
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,16,No,11,0.09618410154545455,0.0033935609480611,0.09616719055175782,0.0033932845181700445,10398556870.201937,12,0.09605521138509115
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,32,No,11,0.101079766,0.006199951433149297,0.10106312214244496,0.0062020842057160875,9894806125.131723,12,0.10087048403422037
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,64,No,11,0.10431519054545456,0.006705867409448735,0.10429905423251067,0.006703763210052248,9587814648.546389,12,0.10406980196634928
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,128,No,11,0.10658866245454547,0.006859564743731726,0.10657252294367012,0.006859876423920813,9383281660.025625,12,0.10633728090922036
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,256,No,11,0.10910281218181819,0.0015430229684811633,0.10908597564697263,0.0015415613335444584,9167081231.745413,12,0.10902937571207681
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,512,No,11,0.11030854036363637,0.003708790573875058,0.11029047809947619,0.0037088011745659757,9066965863.526793,12,0.11040000025431314
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,1024,No,11,0.10942044463636363,0.004071168197181351,0.10940434542569247,0.004070726541103309,9140404762.799856,12,0.10953762245178222
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,1,1000000000,2048,No,11,0.10870300436363638,0.003638029208380928,0.10868670793013138,0.0036359675803572886,9200757103.093454,12,0.10860373306274414
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,1,No,11,0.6161404879090909,1.752909838048151e-05,0.6161243230646307,1.8026343095418585e-05,1623049054.492694,12,0.6161211700439453
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,2,No,11,0.6161328040000001,1.0294465384269236e-05,0.6161167824485086,1.050663029864121e-05,1623068918.8921323,12,0.6161180165608724
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,4,No,11,0.6161373560000001,7.598421072157111e-06,0.6161228304776278,7.734472582690328e-06,1623052986.406598,12,0.6161152852376303
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,8,No,11,0.6161369805454545,4.175175370505876e-06,0.6161209716796875,4.389981568892292e-06,1623057883.0546377,12,0.6161165720621746
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,16,No,11,0.6164767333636363,5.495365248250222e-06,0.6164614923650569,5.240825728133471e-06,1622161339.1673439,12,0.6185667368570963
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,32,No,11,0.6252997140000001,8.057904314576783e-06,0.6252842795632102,8.675631617334536e-06,1599272575.1853955,12,0.6252957051595053
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,64,No,11,0.6258672311818182,1.751777785891144e-05,0.6258519564541902,1.757419692950644e-05,1597821960.429065,12,0.6258458506266277
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,128,No,11,0.6260575804545455,1.7418306418283144e-05,0.6260418590198864,1.780075431890465e-05,1597337279.5959234,12,0.6260497945149739
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,256,No,11,0.6299358853636364,0.0035080682767801765,0.6299207763671876,0.0035087853282332097,1587501218.4343152,12,0.6325370025634766
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,512,No,11,0.6328189820909091,0.0004734688979864432,0.6328035111860796,0.0004730926385524245,1580269360.5882096,12,0.6295776367187499
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,1024,No,11,0.6308933735454546,0.0036026316319055763,0.6308780184659092,0.0036031158891298223,1585092475.454567,12,0.6313203226725261
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,256,16,1000000000,2048,No,11,0.6312405222727273,0.003496681359149016,0.6312254416725853,0.0034966592733225803,1584220048.7836118,12,0.6262272033691406
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,1,No,11,0.258134958,1.1802942910201491e-05,0.2581197731711648,1.220891333135387e-05,3874170458.5989947,12,0.25811592610677087
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,2,No,11,0.25811771390909094,1.3492078381467421e-05,0.25810208407315344,1.278588061213708e-05,3874435975.947299,12,0.25809817504882815
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,4,No,11,0.25813048481818185,0.00023620398764319803,0.2581148404208097,0.00023545429478548813,3874244496.6344457,12,0.2580923741658529
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,8,No,11,0.2589198900909091,0.0034768349082228466,0.25890490167791197,0.0034757932550552617,3862422045.7750926,12,0.25808887736002606
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,16,No,11,0.2599905730909091,0.00019054462214642694,0.25997461214932527,0.00019029503960475979,3846529442.750417,12,0.2599483693440755
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,32,No,11,0.2687547571818181,1.1408826544791982e-05,0.26873902476917616,1.1484374694566375e-05,3721082194.366503,12,0.2687359110514323
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,64,No,11,0.2700757856363637,0.00018391544442600245,0.2700595176003196,0.00018412435726280937,3702887455.6458755,12,0.2700417683919271
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,128,No,11,0.273452018,1.1209804878414723e-05,0.27343574107776997,1.1411790271902588e-05,3657166382.340567,12,0.27380915069580075
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,256,No,11,0.27696117663636366,0.0032536452986576467,0.2769446133700284,0.0032557139870441885,3610830295.0232515,12,0.2795640335083008
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,512,No,11,0.28273530672727276,0.0002250860964313303,0.28271886097301135,0.00022582476258547189,3537082727.90283,12,0.2842158915201823
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,1024,No,11,0.2861817295454545,0.0027772472844830617,0.28616508345170455,0.0027770419375250663,3494486426.988455,12,0.2859229075113932
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,1,1000000000,2048,No,11,0.2883131718181818,0.004902904560968969,0.28829612593217324,0.004902806067540335,3468655698.2568254,12,0.2891640294392903
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,1,No,6,2.5154839358333336,0.005645057028733687,2.515469441731771,0.005645300572166553,397540110.5694019,7,2.4695055803571435
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,2,No,7,2.466663098142857,1.7311531997811029e-06,2.4666485421316966,1.855961550389936e-06,405408384.2588261,7,2.4666449846540175
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,4,No,7,2.4583521595714286,0.0054787806496482214,2.4583374372209823,0.005479135256632265,406778981.94905496,7,2.4386527622767855
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,8,No,7,2.438682480571429,8.813215838445745e-07,2.438668178013393,8.203274603787071e-07,410059888.02241546,7,2.479540492466518
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,16,No,7,2.481606727,0.005953702460788006,2.4815911342075894,0.005954114818984902,402967268.14319295,7,2.440618129185268
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,32,No,7,2.4467533562857144,9.268110961535929e-07,2.4467388741629463,9.322320181057546e-07,408707284.03418607,7,2.4440302385602677
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,64,No,7,2.4053129230000003,0.0052156965330700375,2.4052996303013394,0.005215638377273191,415748619.17503333,7,2.391913818359375
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,128,No,7,2.387692419571429,0.002100683765941125,2.387678920200893,0.002100487969618334,418816781.2428744,7,2.3853580147879465
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,256,No,7,2.3686864430000005,0.00020454938154523754,2.3686730957031252,0.0002045842154569586,422177294.8804303,7,2.3924240025111603
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,512,No,7,2.394329364,2.5829242502580443e-06,2.394315883091518,2.0430947264549724e-06,417655835.24794126,7,2.3942967354910714
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,1024,No,7,2.394356160142858,5.226311384589415e-06,2.3943412039620533,5.3438372934542545e-06,417651418.41323316,7,2.394334158761161
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,512,16,1000000000,2048,No,7,2.3943864957142855,4.636625513957244e-06,2.3943739885602677,4.410639263103333e-06,417645699.78531134,7,2.394346330915179
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,1024,1,1000000000,1,No,11,0.790309067909091,5.803968283798805e-06,0.7902941561612217,6.1591719824994645e-06,1265351631.6726983,12,0.7902936808268229
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,1024,1,1000000000,2,No,11,0.7903143793636365,3.6242419564623607e-06,0.7902991887872869,3.6847023091546287e-06,1265343573.912177,12,0.7902953796386719
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,1024,1,1000000000,4,No,11,0.7903213851818183,9.585712314794547e-06,0.7903064519708807,9.929380518001548e-06,1265331944.976764,12,0.7903006693522135
wc_bloom_filter_add_unique_size_u64,0,NVIDIA A100-SXM4-40GB,U64,U64,1024,1,1000000000,8,No,11,0.7903300109090909,1.2407184995153192e-05,0.7903143532492898,1.2222066722779729e-05,1265319294.6434681,12,0.8032537587483723
